575 428 50
0 -1 0 0
Zombie2_Run_2.png 10091 176 3
Zombie2_Run_2.png 9991 176 3
Zombie3_Run_2.png 9891 176 5
Zombie3_Run_2.png 9791 176 5
Zombie3_Run_2.png 9859 176 5
Zombie3_Run_2.png 9759 176 5
Zombie3_Run_2.png 9491 176 5
Zombie4_Run_2.png 9559 176 7
Zombie4_Run_2.png 9291 176 7
Zombie4_Run_2.png 9191 176 7
Zombie_Run.png 9259 176 1
Zombie3_Run_2.png 8991 176 5
Zombie_Run.png 9059 176 1
Zombie4_Run_2.png 8959 176 7
Zombie_Run.png 8859 176 1
Zombie4_Run_2.png 8759 176 7
Zombie4_Run_2.png 8659 176 7
Zombie4_Run_2.png 8391 176 7
Zombie3_Run_2.png 8459 176 5
Zombie_Run.png 8359 176 1
Zombie2_Run_2.png 8259 176 3
Zombie2_Run_2.png 7991 176 3
Zombie4_Run_2.png 7891 176 7
Zombie2_Run_2.png 7791 176 3
Zombie3_Run_2.png 7859 176 5
Zombie4_Run_2.png 7759 176 7
Zombie_Run.png 7491 176 1
Zombie4_Run_2.png 7391 176 7
Zombie3_Run_2.png 7459 176 5
Zombie2_Run_2.png 7191 176 3
Zombie3_Run_2.png 7259 176 5
Zombie3_Run_2.png 6991 176 5
Zombie_Run.png 7059 176 1
Zombie_Run.png 6791 180 1
Zombie3_Run_2.png 6691 176 5
Zombie2_Run_2.png 6591 176 3
Zombie2_Run_2.png 6491 176 3
Zombie_Run.png 6391 176 1
Zombie_Run.png 6291 176 1
Zombie2_Run_2.png 6359 176 3
Zombie_Run.png 6091 176 1
Zombie_Run.png 6159 176 1
Zombie2_Run_2.png 6059 176 3
Zombie2_Run_2.png 5959 176 3
Zombie_Run.png 5859 176 1
Zombie_Run.png 5759 176 1
Zombie3_Run_2.png 5659 176 5
Zombie3_Run_2.png 5559 176 5
Zombie_Run.png 5291 176 1
Zombie2_Run_2.png 5359 176 3
Zombie3_Run_2.png 5091 176 5
Zombie_Run.png 5159 176 1
Zombie2_Run_2.png 5059 176 3
Zombie4_Run_2.png 4959 176 7
Zombie2_Run_2.png 4859 176 3
Zombie3_Run_2.png 4591 176 5
Zombie3_Run_2.png 4659 176 5
Zombie2_Run_2.png 4559 176 3
Zombie4_Run_2.png 4459 176 7
Zombie3_Run_2.png 4359 176 5
Zombie3_Run_2.png 4091 176 5
Zombie4_Run_2.png 3991 176 7
Zombie3_Run_2.png 3891 176 5
Zombie2_Run_2.png 3791 176 3
Zombie2_Run_2.png 3691 176 3
Zombie_Run.png 3759 176 1
Zombie2_Run_2.png 3491 176 3
Zombie4_Run_2.png 3391 176 7
Zombie_Run.png 3459 176 1
Zombie2_Run_2.png 3191 176 3
Zombie4_Run_2.png 3259 176 7
Zombie2_Run_2.png 2991 176 3
Zombie3_Run_2.png 3059 176 5
Zombie_Run.png 2959 176 1
Zombie2_Run_2.png 2859 176 3
Zombie_Run.png 2591 176 1
Zombie3_Run_2.png 2659 176 5
Zombie3_Run_2.png 2559 180 5
Zombie2_Run_2.png 2291 176 3
Zombie4_Run_2.png 2191 176 7
Zombie4_Run_2.png 2259 180 7
Zombie_Run.png 2159 200 1
Zombie2_Run_2.png 2059 176 3
Zombie2_Run_2.png 1791 176 3
Zombie2_Run_2.png 1691 196 3
Zombie_Run.png 1759 176 1
Zombie2_Run_2.png 1491 180 3
Zombie_Run.png 1559 204 1
Zombie2_Run_2.png 1291 232 3
Zombie_Run.png 1191 192 1
Zombie3_Run_2.png 1259 256 5
Zombie2_Run_2.png 1159 512 3
Zombie4_Run_2.png 891 512 7
Zombie4_Run_2.png 959 512 7
Zombie3_Run_2.png 691 512 5
Zombie4_Run_2.png 759 512 7
Zombie3_Run_2.png 659 512 5
Zombie2_Run_2.png 559 512 3
Zombie4_Run_2.png 291 512 7
Zombie4_Run_2.png 191 512 7
Zombie3_Run_2.png 91 512 5
