837 428 48
0 -1 262 0
-781 494
Zombie3_Run_2.png 9663 582 5
Zombie3_Run_2.png 9563 582 5
Zombie2_Run_2.png 9775 594 3
Zombie_Run.png 9675 582 1
Zombie3_Run_2.png 9263 574 5
Zombie4_Run_2.png 9475 570 7
Zombie_Run.png 9375 586 1
Zombie4_Run_2.png 9275 586 7
Zombie4_Run_2.png 8863 582 7
Zombie_Run.png 8763 598 1
Zombie3_Run_2.png 8663 578 5
Zombie2_Run_2.png 8563 594 3
Zombie3_Run_2.png 8775 594 5
Zombie4_Run_2.png 8363 586 7
Zombie4_Run_2.png 8263 586 7
Zombie2_Run_2.png 8163 582 3
Zombie2_Run_2.png 8063 578 3
Zombie2_Run_2.png 7963 586 3
Zombie2_Run_2.png 8175 586 3
Zombie4_Run_2.png 7763 586 7
Zombie3_Run_2.png 7975 578 5
Zombie2_Run_2.png 7875 582 3
Zombie_Run.png 7463 590 1
Zombie2_Run_2.png 7363 586 3
Zombie3_Run_2.png 7263 594 5
Zombie4_Run_2.png 7163 582 7
Zombie2_Run_2.png 7375 590 3
Zombie4_Run_2.png 6963 578 7
Zombie4_Run_2.png 6863 590 7
Zombie3_Run_2.png 6763 586 5
Zombie2_Run_2.png 6975 570 3
Zombie2_Run_2.png 6875 594 3
Zombie3_Run_2.png 6463 586 5
Zombie4_Run_2.png 6363 586 7
Zombie2_Run_2.png 6263 570 3
Zombie3_Run_2.png 6163 586 5
Zombie_Run.png 6375 566 1
Zombie2_Run_2.png 6275 578 3
Zombie2_Run_2.png 5863 586 3
Zombie_Run.png 5763 590 1
Zombie4_Run_2.png 5663 586 7
Zombie2_Run_2.png 5875 586 3
Zombie4_Run_2.png 5775 590 7
Zombie4_Run_2.png 5363 590 7
Zombie3_Run_2.png 5575 594 5
Zombie_Run.png 5163 582 1
Zombie_Run.png 5375 590 1
Zombie4_Run_2.png 5275 590 7
Zombie4_Run_2.png 4863 578 7
Zombie4_Run_2.png 5075 582 7
Zombie4_Run_2.png 4663 586 7
Zombie3_Run_2.png 4875 586 5
Zombie_Run.png 4775 578 1
Zombie3_Run_2.png 4675 590 5
Zombie_Run.png 4575 582 1
Zombie2_Run_2.png 4475 590 3
Zombie_Run.png 4375 594 1
Zombie2_Run_2.png 4275 574 3
Zombie4_Run_2.png 4175 582 7
Zombie2_Run_2.png 3763 582 3
Zombie3_Run_2.png 3663 582 5
Zombie2_Run_2.png 3563 582 3
Zombie2_Run_2.png 3775 582 3
Zombie2_Run_2.png 3363 586 3
Zombie_Run.png 3575 566 1
Zombie_Run.png 3163 578 1
Zombie2_Run_2.png 3375 574 3
Zombie4_Run_2.png 3275 578 7
Zombie_Run.png 2863 574 1
Zombie3_Run_2.png 2763 594 5
Zombie2_Run_2.png 2663 590 3
Zombie3_Run_2.png 2875 566 5
Zombie3_Run_2.png 2463 590 5
Zombie3_Run_2.png 2363 598 5
Zombie3_Run_2.png 2575 586 5
Zombie4_Run_2.png 2163 594 7
Zombie3_Run_2.png 2063 594 5
Zombie_Run.png 1963 590 1
Zombie3_Run_2.png 1863 594 5
Zombie2_Run_2.png 2075 586 3
Zombie2_Run_2.png 1975 590 3
Zombie4_Run_2.png 1875 594 7
Zombie_Run.png 1775 594 1
Zombie2_Run_2.png 1363 594 3
Zombie_Run.png 1575 602 1
Zombie3_Run_2.png 944 606 5
Zombie4_Run_2.png 1014 606 7
Zombie_Run.png 964 590 1
Zombie3_Run_2.png 785 590 5
Zombie4_Run_2.png 695 614 7
Zombie_Run.png 868 594 1
Zombie3_Run_2.png 932 610 5
Zombie4_Run_2.png 987 606 7
Zombie3_Run_2.png 1000 602 5
Zombie_Run.png 620 610 1
Zombie_Run.png 695 3726 1
Zombie_Run.png 850 590 1
Zombie2_Run_2.png 810 590 3
Zombie2_Run_2.png 175 3290 3
Zombie4_Run_2.png 75 3982 7
Zombie4_Run_2.png -25 3982 7
