961;446;7
0;-1;386;18
61856;Fraunhofer Diffraction - Take Me Back.mp3;-871;477
Zombie3_Run_2.png;9573;549;5
Zombie2_Run_2.png;9473;549;3
Zombie_Run.png;9685;553;1
Zombie2_Run_2.png;9273;553;3
Zombie4_Run_2.png;9485;553;7
Zombie3_Run_2.png;9073;553;5
Zombie4_Run_2.png;9285;553;7
Zombie3_Run_2.png;8873;553;5
Zombie_Run.png;8773;553;1
Zombie4_Run_2.png;8985;553;7
Zombie4_Run_2.png;8573;553;7
Zombie3_Run_2.png;8785;565;5
Zombie3_Run_2.png;8685;553;5
Zombie2_Run_2.png;8585;553;3
Zombie3_Run_2.png;8173;553;5
Zombie2_Run_2.png;8073;549;3
Zombie2_Run_2.png;7973;557;3
Zombie2_Run_2.png;7873;553;3
Zombie3_Run_2.png;8085;553;5
Zombie3_Run_2.png;7985;553;5
Zombie_Run.png;7885;557;1
Zombie3_Run_2.png;7785;549;5
Zombie4_Run_2.png;7373;553;7
Zombie4_Run_2.png;7585;553;7
Zombie4_Run_2.png;7485;549;7
Zombie4_Run_2.png;7385;549;7
Zombie_Run.png;7285;553;1
Zombie_Run.png;6873;553;1
Zombie_Run.png;6773;553;1
Zombie3_Run_2.png;6673;549;5
Zombie3_Run_2.png;6573;553;5
Zombie_Run.png;6785;557;1
Zombie3_Run_2.png;6373;557;5
Zombie2_Run_2.png;6585;553;3
Zombie_Run.png;6485;553;1
Zombie4_Run_2.png;6385;557;7
Zombie3_Run_2.png;6285;557;5
Zombie2_Run_2.png;5873;553;3
Zombie3_Run_2.png;6085;553;5
Zombie2_Run_2.png;5673;549;3
Zombie4_Run_2.png;5885;553;7
Zombie3_Run_2.png;5473;553;5
Zombie3_Run_2.png;5373;553;5
Zombie4_Run_2.png;5585;549;7
Zombie2_Run_2.png;5485;549;3
Zombie2_Run_2.png;5385;553;3
Zombie4_Run_2.png;4973;553;7
Zombie2_Run_2.png;4873;549;3
Zombie3_Run_2.png;5085;549;5
Zombie_Run.png;4985;553;1
Zombie_Run.png;4573;553;1
Zombie3_Run_2.png;4473;553;5
Zombie_Run.png;4685;553;1
Zombie3_Run_2.png;4273;549;5
Zombie_Run.png;4173;553;1
Zombie2_Run_2.png;4385;549;3
Zombie2_Run_2.png;4285;549;3
Zombie3_Run_2.png;4185;553;5
Zombie_Run.png;4085;553;1
Zombie4_Run_2.png;3985;553;7
Zombie2_Run_2.png;3573;553;3
Zombie_Run.png;3785;553;1
Zombie3_Run_2.png;3373;549;5
Zombie4_Run_2.png;3585;549;7
Zombie4_Run_2.png;3173;549;7
Zombie3_Run_2.png;3073;553;5
Zombie3_Run_2.png;3285;553;5
Zombie2_Run_2.png;2873;553;3
Zombie4_Run_2.png;3085;553;7
Zombie_Run.png;2673;557;1
Zombie4_Run_2.png;2573;553;7
Zombie3_Run_2.png;2473;549;5
Zombie4_Run_2.png;2373;549;7
Zombie2_Run_2.png;2585;553;3
Zombie_Run.png;2485;553;1
Zombie4_Run_2.png;2385;553;7
Zombie2_Run_2.png;2285;553;3
Zombie4_Run_2.png;2185;553;7
Zombie_Run.png;2085;553;1
Zombie4_Run_2.png;1985;553;7
Zombie2_Run_2.png;1885;557;3
Zombie3_Run_2.png;1168;549;4
Zombie4_Run_2.png;1685;553;7
Zombie3_Run_2.png;792;553;3
Zombie2_Run_2.png;937;551;2
Zombie_Run.png;667;553;1
Zombie3_Run_2.png;925;549;2
Zombie2_Run_2.png;934;549;3
Zombie_Run.png;937;549;1
Zombie4_Run_2.png;937;553;7
Zombie4_Run_2.png;934;6865;7
Zombie3_Run_2.png;934;8073;5
Zombie4_Run_2.png;934;8189;7
Zombie2_Run_2.png;934;8189;3
Zombie3_Run_2.png;939;8193;5
Zombie4_Run_2.png;939;8193;7
Zombie_Run.png;939;8193;1
Zombie_Run.png;937;8193;1
Zombie2_Run_2.png;-227;8189;3
Zombie3_Run_2.png;-327;8189;5
Zombie2_Run_2.png;-427;8189;3
