425;666;-22
0;-1;-150;238
117226;Fraunhofer Diffraction - Take Me Back.mp3;-4213;718
Zombie4_Run_2.png;5884;800;7
Zombie4_Run_2.png;6790;796;7
Zombie4_Run_2.png;5684;796;7
Zombie_Run.png;6590;796;1
Zombie4_Run_2.png;5484;796;7
Zombie_Run.png;6390;792;1
Zombie_Run.png;6290;792;1
Zombie4_Run_2.png;5184;792;7
Zombie3_Run_2.png;5084;792;5
Zombie4_Run_2.png;5990;792;7
Zombie2_Run_2.png;5890;800;3
Zombie2_Run_2.png;5790;796;3
Zombie_Run.png;4684;800;1
Zombie4_Run_2.png;5590;792;7
Zombie4_Run_2.png;4484;792;7
Zombie_Run.png;4384;792;1
Zombie_Run.png;4284;792;1
Zombie3_Run_2.png;4184;796;5
Zombie_Run.png;5090;792;1
Zombie3_Run_2.png;4990;792;5
Zombie2_Run_2.png;3884;792;3
Zombie4_Run_2.png;3784;792;7
Zombie2_Run_2.png;3684;792;3
Zombie3_Run_2.png;3584;796;5
Zombie2_Run_2.png;3484;792;3
Zombie3_Run_2.png;4390;792;5
Zombie_Run.png;4290;792;1
Zombie2_Run_2.png;3184;796;3
Zombie2_Run_2.png;3084;792;3
Zombie3_Run_2.png;2984;792;5
Zombie_Run.png;2884;792;1
Zombie_Run.png;2784;792;1
Zombie_Run.png;2684;792;1
Zombie3_Run_2.png;2584;792;5
Zombie3_Run_2.png;3490;792;5
Zombie_Run.png;2384;796;1
Zombie3_Run_2.png;2284;792;5
Zombie4_Run_2.png;3190;796;7
Zombie2_Run_2.png;3090;796;3
Zombie_Run.png;2990;804;1
Zombie3_Run_2.png;1884;796;5
Zombie2_Run_2.png;1784;792;3
Zombie_Run.png;1684;792;1
Zombie3_Run_2.png;1584;792;5
Zombie4_Run_2.png;1484;792;7
Zombie2_Run_2.png;2390;792;3
Zombie2_Run_2.png;2290;792;3
Zombie3_Run_2.png;1184;792;5
Zombie3_Run_2.png;1084;792;5
Zombie2_Run_2.png;1990;796;3
Zombie_Run.png;1890;796;1
Zombie2_Run_2.png;1790;796;3
Zombie4_Run_2.png;1690;792;7
Zombie4_Run_2.png;417;796;7
Zombie_Run.png;397;792;1
Zombie3_Run_2.png;1390;792;5
Zombie3_Run_2.png;397;792;5
Zombie4_Run_2.png;1190;792;7
Zombie3_Run_2.png;397;792;5
Zombie4_Run_2.png;401;794;7
Zombie3_Run_2.png;890;796;5
Zombie3_Run_2.png;403;798;5
Zombie3_Run_2.png;-354;800;5
Zombie2_Run_2.png;-418;796;3
Zombie2_Run_2.png;403;798;3
Zombie_Run.png;449;792;1
Zombie3_Run_2.png;-863;796;5
Zombie_Run.png;21;792;1
Zombie2_Run_2.png;21;792;3
Zombie3_Run_2.png;-1063;792;5
Zombie3_Run_2.png;-33;792;5
Zombie3_Run_2.png;-1039;792;5
Zombie_Run.png;-839;792;1
Zombie2_Run_2.png;-859;792;3
Zombie3_Run_2.png;-1636;792;5
Zombie4_Run_2.png;-1350;792;7
Zombie4_Run_2.png;-1992;794;7
Zombie_Run.png;-859;792;1
Zombie3_Run_2.png;-1460;796;5
Zombie_Run.png;-926;792;1
Zombie4_Run_2.png;-1166;796;7
Zombie2_Run_2.png;-1564;798;3
Zombie3_Run_2.png;-1992;794;2
Zombie3_Run_2.png;-1460;13476;5
Zombie2_Run_2.png;-1460;13580;3
Zombie3_Run_2.png;-685;13950;5
Zombie_Run.png;-1996;794;1
Zombie4_Run_2.png;-1916;794;7
Zombie4_Run_2.png;-1460;15126;7
Zombie_Run.png;-685;15126;1
Zombie2_Run_2.png;-685;15126;3
Zombie_Run.png;-1460;15124;1
Zombie4_Run_2.png;-685;15128;7
Zombie_Run.png;-2910;15124;1
Zombie3_Run_2.png;-4016;15124;5
Zombie3_Run_2.png;-4116;15124;5
