575 428 38
0 -1 0 0
Zombie3_Run_2.png 8608 417 5
Zombie2_Run_2.png 8508 425 3
Zombie2_Run_2.png 8508 425 3
Zombie_Run.png 8408 425 1
Zombie2_Run_2.png 8308 417 3
Zombie_Run.png 8108 421 1
Zombie2_Run_2.png 8108 421 3
Zombie2_Run_2.png 8008 425 3
Zombie_Run.png 7808 417 1
Zombie4_Run_2.png 7808 417 7
Zombie2_Run_2.png 7608 421 3
Zombie4_Run_2.png 7508 421 7
Zombie4_Run_2.png 7408 417 7
Zombie_Run.png 7308 425 1
Zombie3_Run_2.png 7308 421 5
Zombie4_Run_2.png 7208 417 7
Zombie_Run.png 7008 493 1
Zombie3_Run_2.png 7008 497 5
Zombie4_Run_2.png 6908 509 7
Zombie_Run.png 6808 577 1
Zombie4_Run_2.png 6708 549 7
Zombie4_Run_2.png 6508 473 7
Zombie3_Run_2.png 6408 521 5
Zombie3_Run_2.png 6408 545 5
Zombie_Run.png 6208 541 1
Zombie_Run.png 6108 481 1
Zombie4_Run_2.png 6108 481 7
Zombie3_Run_2.png 5908 609 5
Zombie4_Run_2.png 5808 529 7
Zombie4_Run_2.png 5808 529 7
Zombie4_Run_2.png 5708 589 7
Zombie_Run.png 5508 533 1
Zombie2_Run_2.png 5508 569 3
Zombie2_Run_2.png 5308 561 3
Zombie_Run.png 5308 561 1
Zombie_Run.png 5208 509 1
Zombie3_Run_2.png 5108 641 5
Zombie_Run.png 5008 529 1
Zombie_Run.png 4908 493 1
Zombie2_Run_2.png 4708 641 3
Zombie2_Run_2.png 4708 641 3
Zombie4_Run_2.png 4508 549 7
Zombie3_Run_2.png 4408 497 5
Zombie2_Run_2.png 4308 425 3
Zombie_Run.png 4308 425 1
Zombie2_Run_2.png 4208 417 3
Zombie2_Run_2.png 4108 421 3
Zombie3_Run_2.png 4008 417 5
Zombie4_Run_2.png 3908 425 7
Zombie3_Run_2.png 3808 421 5
Zombie_Run.png 3608 421 1
Zombie4_Run_2.png 3608 421 7
Zombie3_Run_2.png 3408 421 5
Zombie3_Run_2.png 3308 425 5
Zombie4_Run_2.png 3208 417 7
Zombie3_Run_2.png 3108 429 5
Zombie2_Run_2.png 3108 429 3
Zombie4_Run_2.png 2908 425 7
Zombie_Run.png 2908 425 1
Zombie2_Run_2.png 2708 425 3
Zombie4_Run_2.png 2608 421 7
Zombie4_Run_2.png 2508 421 7
Zombie4_Run_2.png 2408 417 7
Zombie2_Run_2.png 2308 425 3
Zombie3_Run_2.png 2308 425 5
Zombie3_Run_2.png 2208 421 5
Zombie2_Run_2.png 2108 441 3
Zombie3_Run_2.png 2008 417 5
Zombie2_Run_2.png 1808 421 3
Zombie2_Run_2.png 1708 421 3
Zombie2_Run_2.png 1608 417 3
Zombie3_Run_2.png 1508 421 5
Zombie_Run.png 1508 421 1
Zombie3_Run_2.png 1408 417 5
Zombie_Run.png 1108 429 1
Zombie_Run.png 1008 417 1
Zombie4_Run_2.png 228 6253 7
Zombie3_Run_2.png 397 6519 5
Zombie2_Run_2.png -417 5605 3
Zombie2_Run_2.png -369 6517 3
Zombie3_Run_2.png -547 6517 5
Zombie4_Run_2.png -547 6517 7
Zombie4_Run_2.png -547 6517 7
Zombie3_Run_2.png 397 6519 5
Zombie_Run.png 598 6519 1
Zombie_Run.png 20 6519 1
Zombie2_Run_2.png 20 6519 3
Zombie_Run.png -992 6517 1
Zombie4_Run_2.png -1092 6517 7
Zombie3_Run_2.png -1292 6517 5
Zombie3_Run_2.png -1292 6517 5
